check_date,engine,query,position,is_brand
2026-07-12,yandex,купить потолочный люстра,6.0,False
2026-07-12,yandex,купить потолочный светильник с лампами,7.0,False
2026-07-12,google,купить проходной выключатель,10.0,False
2026-07-12,yandex,купить проходной выключатель,29.0,False
2026-07-12,google,купить садовые светильники,4.0,False
2026-07-12,google,купить свет,12.0,False
2026-07-12,yandex,купить свет,3.0,False
2026-07-12,google,купить светильник,7.0,False
2026-07-12,yandex,купить светильник,4.0,False
2026-07-12,google,купить светильник в москве,9.0,False
2026-07-12,yandex,купить светильник в москве,4.0,False
2026-07-12,google,купить светильник светодиодный потолочный,27.0,False
2026-07-12,yandex,купить светильник светодиодный потолочный,14.0,False
2026-07-12,yandex,купить светильники,1.0,False
2026-07-12,google,купить светильники в москве,7.0,False
2026-07-12,yandex,купить светильники в москве,2.0,False
2026-07-12,google,купить светодиодную лампу,35.0,False
2026-07-12,google,купить светодиодную люстру,39.0,False
2026-07-12,yandex,купить светодиодную люстру,12.0,False
2026-07-12,google,купить современную люстру,22.0,False
2026-07-12,yandex,купить современную люстру,4.0,False
2026-07-12,google,купить столб освещения,41.0,False
2026-07-12,yandex,купить торшер напольный,8.0,False
2026-07-12,yandex,купить торшер с доставкой,3.0,False
2026-07-12,google,купить торшер флористика в москве,13.0,False
2026-07-12,yandex,купить торшер флористика в москве,2.0,False
2026-07-12,google,купить торшер хрустальный напольный можно купить торшер,28.0,False
2026-07-12,yandex,купить торшер хрустальный напольный можно купить торшер,2.0,False
2026-07-12,yandex,купить точечные светильники,6.0,False
2026-07-12,yandex,купить точечные светильники потолочные,7.0,False
2026-07-12,google,купить уличные настенные светильники,23.0,False
2026-07-12,yandex,купить уличные настенные светильники,6.0,False
2026-07-12,google,купить уличный потолочный светильник на открытую террасу,1.0,False
2026-07-12,yandex,купить уличный потолочный светильник на открытую террасу,3.0,False
2026-07-12,google,купить уличный фонарный столб,8.0,False
2026-07-12,yandex,купить уличный фонарный столб,3.0,False
2026-07-12,google,купить уличный фонарь на столб,20.0,False
2026-07-12,google,купить фонарный столб,2.0,False
2026-07-12,yandex,купить фонарный столб,4.0,False
2026-07-12,google,купить фонарь на столб,7.0,False
2026-07-12,yandex,купить фонарь на столб,41.0,False
2026-07-12,yandex,купить хрустальный торшер германия,8.0,False
2026-07-12,google,куплю люстре в стиле кантри,19.0,False
2026-07-12,yandex,куплю люстре в стиле кантри,7.0,False
2026-07-12,google,куплю люстру,3.0,False
2026-07-12,google,кутек,13.0,False
2026-07-12,yandex,кутек,19.0,False
2026-07-12,google,кутек люстры,7.0,False
2026-07-12,yandex,кутек люстры,10.0,False
2026-07-12,google,лампа,34.0,False
2026-07-12,google,лампа 12 вольт,8.0,False
2026-07-12,yandex,лампа бра,7.0,False
2026-07-12,google,лампа для балкона,2.0,False
2026-07-12,yandex,лампа для балкона,2.0,False
2026-07-12,yandex,лампа для кухни,6.0,False
2026-07-12,google,лампа для террасы,1.0,False
2026-07-12,yandex,лампа для террасы,7.0,False
2026-07-12,google,лампа е 27,5.0,False
2026-07-12,google,лампа купить,1.0,False
2026-07-12,yandex,лампа купить,16.0,False
2026-07-12,google,лампа на прищепке,8.0,False
2026-07-12,yandex,лампа на прищепке,6.0,False
2026-07-12,google,лампа на прищепке купить,7.0,False
2026-07-12,yandex,лампа настольная белая,18.0,False
2026-07-12,google,лампа настольная деревянная,2.0,False
2026-07-12,yandex,лампа настольная деревянная,19.0,False
2026-07-12,google,лампа настольная классика,7.0,False
2026-07-12,yandex,лампа настольная классика,3.0,False
2026-07-12,google,лампа настольная классическая,8.0,False
2026-07-12,google,лампа настольная на прищепке,5.0,False
2026-07-12,google,лампа настольная с креплением к столу,9.0,False
2026-07-12,yandex,лампа настольная с креплением к столу,12.0,False
2026-07-12,yandex,лампа настольная светодиодная,13.0,False
2026-07-12,google,лампа спот,29.0,False
2026-07-12,yandex,лампа спот,2.0,False
2026-07-12,yandex,лампа торшер купить,10.0,False
