check_date,engine,domain,hide_brand,total_queries,total_weighted_freq,visibility_weighted,visibility_unweighted,top3,top10,top11_50,top1_50,not_found,avg_position,median_position,unique_urls
2026-08-02,yandex,svetlux.ru,False,1278,87721.0,28.43,27.72,169,508,211,719,559,9.4,7.0,271
2026-08-02,yandex,lu.ru,True,1278,87721.0,45.76,53.02,588,831,71,902,376,4.5,2.0,444
2026-08-02,yandex,lu.ru,False,1278,87721.0,45.76,53.02,588,831,71,902,376,4.5,2.0,444
2026-08-02,yandex,vamsvet.ru,True,1278,87721.0,28.21,22.38,47,403,431,834,444,13.4,11.0,384
2026-08-02,yandex,vamsvet.ru,False,1278,87721.0,28.21,22.38,47,403,431,834,444,13.4,11.0,384
2026-08-02,yandex,market-sveta.ru,True,1278,87721.0,14.32,12.41,36,204,320,524,754,16.0,14.0,242
2026-08-02,yandex,market-sveta.ru,False,1278,87721.0,14.32,12.41,36,204,320,524,754,16.0,14.0,242
2026-08-02,yandex,donplafon.ru,True,1278,87721.0,18.34,22.82,73,429,314,743,535,12.0,9.0,428
2026-08-02,yandex,donplafon.ru,False,1278,87721.0,18.34,22.82,73,429,314,743,535,12.0,9.0,428
2026-08-02,yandex,svetilnik-online.ru,True,1278,87721.0,14.3,12.82,43,208,305,513,765,14.8,13.0,185
2026-08-02,yandex,svetilnik-online.ru,False,1278,87721.0,14.3,12.82,43,208,305,513,765,14.8,13.0,185
2026-08-02,yandex,divine-light.ru,True,1278,87721.0,17.66,21.29,103,383,245,628,650,10.4,8.0,352
2026-08-02,yandex,divine-light.ru,False,1278,87721.0,17.66,21.29,103,383,245,628,650,10.4,8.0,352
2026-08-02,yandex,220svet.ru,True,1278,87721.0,23.61,20.69,124,378,181,559,719,10.4,7.0,214
2026-08-02,yandex,220svet.ru,False,1278,87721.0,23.61,20.69,124,378,181,559,719,10.4,7.0,214
2026-08-02,yandex,megalamps.ru,True,1278,87721.0,16.92,21.43,129,408,107,515,763,8.3,6.0,213
2026-08-02,yandex,megalamps.ru,False,1278,87721.0,16.92,21.43,129,408,107,515,763,8.3,6.0,213
2026-08-02,yandex,lampadia.ru,True,1278,87721.0,30.83,19.65,65,387,208,595,683,10.7,9.0,258
2026-08-02,yandex,lampadia.ru,False,1278,87721.0,30.83,19.65,65,387,208,595,683,10.7,9.0,258
2026-08-02,yandex,topsvet.ru,True,1278,87721.0,15.59,16.39,138,269,138,407,871,10.4,6.0,132
2026-08-02,yandex,topsvet.ru,False,1278,87721.0,15.59,16.39,138,269,138,407,871,10.4,6.0,132
2026-08-02,yandex,fedomo.ru,True,1278,87721.0,14.2,17.88,43,312,358,670,608,13.2,11.0,326
2026-08-02,yandex,fedomo.ru,False,1278,87721.0,14.2,17.88,43,312,358,670,608,13.2,11.0,326
2026-08-02,yandex,svetodom.ru,True,1278,87721.0,21.15,20.59,87,377,251,628,650,11.4,9.0,230
2026-08-02,yandex,svetodom.ru,False,1278,87721.0,21.15,20.59,87,377,251,628,650,11.4,9.0,230
2026-08-02,yandex,basicdecor.ru,True,1278,87721.0,10.79,11.42,18,156,432,588,690,17.9,16.0,283
2026-08-02,yandex,basicdecor.ru,False,1278,87721.0,10.79,11.42,18,156,432,588,690,17.9,16.0,283
2026-08-02,yandex,lustranadom.ru,True,1278,87721.0,8.59,10.1,38,179,161,340,938,12.6,10.0,110
2026-08-02,yandex,lustranadom.ru,False,1278,87721.0,8.59,10.1,38,179,161,340,938,12.6,10.0,110
2026-08-02,yandex,citilux.ru,True,1278,87721.0,3.89,4.29,12,71,103,174,1104,16.7,14.0,87
2026-08-02,yandex,citilux.ru,False,1278,87721.0,3.89,4.29,12,71,103,174,1104,16.7,14.0,87
